NAME,RTG,TEAM,GP,TGT,REC,TGT/G,YDS,100+ YDS,YDS/REC,TD,LONG,FUM,FUML
"Michael Bandy",67,"LAC","6","19","9","3.2","74",0,"8.2",0,"25",0,0
"Mike Strachan",67,"IND","9","8","3","0.9","59",0,"19.7",0,"23",0,0
"Lance McCutcheon",67,"LAR","3",0,0,0,0,0,0,0,0,0,0
"Simi Fehoko",67,"DAL","5","4","3","0.8","24",0,"8",0,"12",0,0
"Jason Moore Jr.",67,"LAC","6","2","1","0.3","5",0,"5",0,"5",0,0
"Isaiah Hodgins",67,"NYG","3","8","6","2.7","82",0,"13.7",0,"26",0,0
"Ethan Fernea",67,"IND","1",0,0,0,0,0,0,0,0,0,0
"Dezmon Patmon",67,"IND","1","6","2","6","24",0,"12",0,"17",0,0
"Dareke Young",67,"SEA","6",0,0,0,0,0,0,0,0,0,0
"Dax Milne",67,"WAS","9","7","6","0.8","37",0,"6.2","1","12",0,0
"Kaylon Geiger",67,"TB","3",0,0,0,0,0,0,0,0,0,0
"Mason Kinsey",67,"TEN","1","1","1","1","3",0,"3",0,"3",0,0
"Jeff Smith",67,"NYJ","9","6","4","0.7","57",0,"14.2",0,"23",0,0
"Stanley Berryhill",67,"DET","3",0,0,0,0,0,0,0,0,0,0
"Keith Kirkwood",67,"NO","2","2","2","1","18",0,"9",0,"14",0,0
"Matthew Slater",67,"NE","9",0,0,0,0,0,0,0,0,0,0
"Raleigh Webb",67,"NE","5",0,0,0,0,0,0,0,0,0,0
"Lil'Jordan Humphrey",67,"NE","6","4","2","0.7","20",0,"10",0,"11",0,0
"Jacob Harris",67,"LAR","3",0,0,0,0,0,0,0,0,0,0
